county_id_fips,AVERAGE of GHG QUANTITY (METRIC TONS CO2e)
31023,132841.9167
31025,368393
31037,53284
31043,73245.54286
31047,40234.57692
31053,279984.0833
31055,421864.5978
31059,132355.1538
31065,51241.25
31067,145368.44
31073,5742.75
31079,208413.4
31081,109207.1333
31087,45850.09091
31089,51955.66667
31095,21513.16667
31099,65031.66667
31101,57398.41667
31109,196901
31111,8300580
31119,85198.21429
31121,123533.6667
31123,48551.25
31131,3514275.69
31135,47851.33333
31137,65401.75
31139,91534
31141,628173.2609
31151,120783.1538
31153,59682.45833
31155,35050.83333
31157,246859.5
31159,47510
31167,114684.1818
31175,72760.91667
31177,312733.7895
31185,113887.7857
32003,391717.9304
32007,256115.2727
32011,926384.3333
32013,1675266.667
32015,0
32019,212041.5833
32023,15984
32027,35921.41667
32029,563042.1795
32031,93262.66667
33007,36148.20833
33009,39687.64286
33011,36656.46667
33013,524517.9583
33015,343917.1899
33017,85822.64706
33019,20110
34001,46358.91228
34003,493843.8491
34005,31216.97222
34007,95981.84615
34009,92460.07407
34011,37570.74783
34013,211042.8145
34015,406731.9643
34017,327234.4706
34019,23542
34021,123621.8929
34023,381387.8254
34025,139545.1143
34027,22624.05882
34029,149399.5217
34033,257701.4699
34035,30411.91667
34037,41539.8125
34039,720047.0814
34041,43056.23214
35001,104087.3011
35005,32058.625
35009,38360.26667
35013,196213.4333
35015,127227.5462
35017,7607.333333
35023,28793.66667
35025,250791.069
35028,53229.42857
35029,374837.6129
35031,587573.5833
35035,30147.45455
35041,30709.33333
35043,48738.72917
35045,1412263.235
35049,24429.58333
35057,33510
35061,38470.61111
36001,443798.1895
36003,44366.21875
36005,45818.80682
36007,34801.40323
36009,82023.58824
36011,58945.44444
36013,187435.4902
36015,56332.375
36019,66817.70588
36025,51875.25
36027,88560.26087
36029,138794.9697
36031,263847.25
36033,3805.25
36035,23066.83333
36037,24675.19355
36039,1350505.538
36043,48344.08333
36045,35131.69444
36047,154534.2969
36049,14030.8
36053,17617.16667
36055,161996.3299
36057,26960.06667
36059,204239.0157
36061,336215.2308
36063,261933.7542
36065,31890.01961
36067,94819.30612
36069,111673.7917
36071,145182.7108
36073,76679.75
36075,342872.3373
36079,106604
36081,578991.7482
36083,293888.6667
36085,183455.7667
36087,155762.7407
36089,123498.1698
36091,144380.94
36093,25535.69697
36095,30771.5
36097,67572.75
36099,211002.5
36101,55911.44444
36103,232461.6854
36105,24234.375
36109,382293.0417
36111,60511.41667
36113,218466.9167
36115,44615.64
36119,113395.7872
36121,56778.54167
36123,100452.6667
37001,117022.1667
37007,104659.0882
37013,407592.3333
37015,155394.7083
37017,223196.5385
37019,337206.5294
37021,690237.3793
37025,204242.9167
37027,85551.5
37035,4215548.042
37037,262369.5385
37045,964780.1552
37047,354595.1667
37049,86575.47222
37051,51012.83333
37057,49465.07317
37061,28697
37063,69226.09756
37065,246808.4667
37067,35192.52941
37071,471286.5333
37081,114543.4565
37083,256330.6905
37087,571819.5217
37089,11302
37091,333345.0833
37097,70607.49153
37101,66779.75
37107,35072.5
37109,46007.5
37117,131381.6667
37119,75545.95294
37123,114531.8333
37129,462651.3333
37133,78011.58333
37135,140282.4167
37145,2596701.873
37147,35024.2
37151,30441.71429
37153,1495772.688
37155,65687.22222
37157,438361.1273
37159,654381.4576
37163,231280.037
37165,241146.75
37167,36887.55556
37169,9846273.083
37171,44449.92857
37179,59125.25
37181,79087.91667
37183,38535.075
37191,1239276.292
37193,40019.29167
37195,67660.625
38003,91703.83333
38007,32640.75
38011,74105.1
38015,6829.947368
38017,129744.8056
38023,31189.75
38025,321148.0938
38035,62067.70588
38049,69292.58333
38051,110546.5
38053,94691.96226
38055,9010932.583
38057,3686256.474
38059,371802.1458
38061,38062.8
38065,5279084.333
38067,291105.7333
38073,33546
38077,175621.6042
38081,66103.58333
38089,485147.0323
38093,138672.2667
38097,465667.75
38101,26671.36842
38105,111997
39001,4225411.938
39003,390005.0612
39007,221614.6744
39009,68245.05405
39011,24798
39013,207410.0278
39015,165691.9167
39017,569389.15
39019,297589.75
39023,20607.9
39025,6061215.75
39029,41815.375
39031,991956.5692
39033,136547.4
39035,413208.2454
39037,98208.65517
39039,63658.63889
39043,184551.9545
39045,56790.20833
39047,100327.9259
39049,69201.93333
39051,180268.15
39053,6712285.444
39055,4585
39057,389269.5
39059,62849.08333
39061,541056.139
39063,28493.88462
39067,119771.8889
39069,51499.375
39073,22355.125
39077,88594.38462
39079,193540.7
39081,2486541.844
39085,372520.303
39087,2769806.143
39089,31221.52381
39091,63063.25
39093,345497.7391
39095,557781.1079
39099,87846.31373
39101,75293.63333
39103,51624.5
39107,56803.33333
39111,147961.9091
39113,97370.70115
39115,2987717.714
39119,380265.6279
39121,46834.69565
39123,67536.36364
39125,386922.5833
39127,61029.93333
39129,54341.91525
39131,95602.47619
39133,71050.37037
39135,30418.84211
39137,92410.79167
39139,130118.125
39141,564890.6667
39143,605431.3396
39145,500179.5455
39147,182806.6444
39149,55056.58333
39151,129674.5971
39153,58735.53968
39155,328479.6364
39157,101787.7639
39159,107619.4167
39161,47991.08333
39163,145904.3333
39165,19182.03226
39167,564575.6796
39169,140576.9412
39171,154579.25
39173,116306.9048
39175,29839.08333
40003,26609.4
40009,44585.13793
40011,16274.8
40013,73584.88462
40015,445070.625
40017,130663.275
40019,237427.7222
40023,2306470.917
40027,57136
40029,29169.75
40031,98835.15
40037,110283.8333
40039,19184.4375
40047,423919.254
40049,251626.0789
40051,45857.81081
40053,212575.4167
40063,32794.41667
40065,77331.33333
40071,379417.96
40073,67018.76923
40077,58010.52174
40079,1654524.533
40081,31175.16667
40083,42765.86667
40087,648390
40089,395445.8333
40095,41550.73913
40097,879421.6591
40101,1469899.933
40103,4985797.417
40107,35721.86957
40109,265042.6184
40111,82523.95833
40113,86516.23077
40119,37553.66667
40121,419007.5682
40123,446191.8333
40125,33921.63636
40129,19780.5
40131,3445453.529
40133,559652.4483
40135,142622.125
40139,45296.23077
40143,206980.2468
40145,450930.5464
40147,41110.66667
40151,23321.5
