,Plant state abbreviation,Plant county name,Number of Power Plants,Powerplant Rank
783,NC,Durham,1,5
784,NC,Forsyth,3,5
785,NC,Gaston,7,5
786,NC,Guilford,6,5
787,NC,Halifax,2,5
788,NC,Haywood,1,5
789,NC,Hyde,1,5
790,NC,Iredell,3,5
791,NC,Johnston,1,5
792,NC,Lenoir,1,5
793,NC,Lincoln,2,5
794,NC,Martin,1,5
795,NC,Mecklenburg,5,5
796,NC,Montgomery,1,5
797,NC,New Hanover,1,5
798,NC,Onslow,1,5
799,NC,Orange,1,5
800,NC,Person,3,5
801,NC,Pitt,2,5
802,NC,Richmond,2,5
803,NC,Robeson,2,5
804,NC,Rockingham,2,5
805,NC,Rowan,3,5
806,NC,Rutherford,1,5
807,NC,Sampson,1,5
808,NC,Stanly,2,5
809,NC,Stokes,1,5
810,NC,Surry,1,5
811,NC,Union,2,5
812,NC,WILSON,1,5
813,NC,Wake,3,5
814,NC,Wayne,2,5
815,ND,Cass,1,5
816,ND,McKenzie,1,5
817,ND,McLean,1,5
818,ND,Mercer,3,5
819,ND,Morton,2,5
820,ND,Oliver,1,5
821,ND,Ransom,1,5
822,ND,Stutsman,2,5
823,ND,Traill,1,5
824,ND,Williams,3,5
825,NE,Adams,3,5
826,NE,Butler,1,5
827,NE,Cass,1,5
828,NE,Cedar,1,5
829,NE,Cheyenne,1,5
830,NE,Cuming,2,5
831,NE,Custer,3,5
832,NE,Deuel,1,5
833,NE,Dixon,2,5
834,NE,Dodge,1,5
835,NE,Douglas,4,5
836,NE,Franklin,1,5
837,NE,Frontier,1,5
838,NE,Furnas,2,5
839,NE,Gage,1,5
840,NE,Garfield,1,5
841,NE,Gosper,1,5
842,NE,Greeley,1,5
843,NE,Hall,2,5
844,NE,Holt,1,5
845,NE,Johnson,1,5
846,NE,Kimball,1,5
847,NE,Lancaster,6,5
848,NE,Lincoln,1,5
849,NE,Madison,1,5
850,NE,Nemaha,1,5
851,NE,Otoe,4,5
852,NE,Pierce,1,5
853,NE,Platte,1,5
854,NE,Red Willow,1,5
855,NE,Richardson,1,5
856,NE,Saline,2,5
857,NE,Sarpy,2,5
858,NE,Saunders,1,5
859,NE,Scotts Bluff,1,5
860,NE,Thayer,1,5
861,NE,Thurston,1,5
862,NE,Valley,1,5
863,NE,Wayne,1,5
864,NE,Webster,2,5
865,NE,York,1,5
866,NH,Carroll,2,5
867,NH,Coos,3,5
868,NH,Grafton,3,5
869,NH,Hillsborough,2,5
870,NH,Merrimack,2,5
871,NH,Rockingham,5,5
872,NH,Strafford,2,5
873,NH,Sullivan,1,5
874,NJ,Atlantic,3,5
875,NJ,Bergen,3,5
876,NJ,Burlington,3,5
877,NJ,Camden,3,5
878,NJ,Cape May,1,5
879,NJ,Cumberland,7,5
880,NJ,Essex,7,5
